Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score
AA-10315,184,5,5563.56,1,1,4,114
AA-10375,19,9,1056.39,4,4,1,441
AA-10480,259,4,1790.5120000000002,1,1,2,112
AA-10645,55,6,5086.9349999999995,3,2,4,324
AB-10015,415,3,886.156,1,1,1,111
AB-10060,54,8,7755.62,3,3,4,334
AB-10105,41,10,14473.570999999998,3,4,4,344
AB-10150,41,5,966.71,3,1,1,311
AB-10165,25,8,1113.838,4,3,1,431
AB-10255,166,9,914.5319999999999,2,4,1,241
AB-10600,50,4,1515.862,3,1,2,312
AC-10420,232,3,925.8,1,1,1,111
AC-10450,11,7,5527.846,4,3,4,434
AC-10615,6,5,2537.6859999999997,4,1,3,413
AC-10660,282,5,657.316,1,1,1,111
AD-10180,29,8,6106.88,4,3,4,434
AF-10870,41,7,2052.908,3,3,2,332
AF-10885,415,4,861.565,1,1,1,111
AG-10270,278,5,2582.898,1,2,3,123
AG-10300,118,4,367.548,2,1,1,211
AG-10330,8,5,660.972,4,2,1,421
AG-10390,114,5,200.945,2,2,1,221
AG-10495,78,8,2356.855,2,3,3,233
AG-10525,845,4,1455.038,1,1,2,112
AG-10675,97,7,3489.0396000000005,2,3,3,233
AG-10765,77,4,170.584,2,1,1,211
AG-10900,96,10,4510.797,2,4,4,244
AH-10030,12,7,1744.7,4,3,2,432
AH-10075,34,10,3250.337,3,4,3,343
AH-10120,60,7,1735.5140000000001,3,3,2,332
AH-10195,55,4,1587.452,3,1,2,312
AH-10210,6,9,4805.344,4,4,4,444
AH-10465,230,5,2495.3916,1,2,3,123
AH-10585,21,4,738.504,4,1,1,411
AH-10690,410,12,7888.294,1,4,4,144
AI-10855,13,10,4375.786,4,4,4,444
AJ-10780,75,7,4867.344,3,3,4,334
AJ-10795,166,7,4501.391,2,3,4,234
AJ-10945,85,7,1839.24,2,3,2,232
AJ-10960,74,3,629.2479999999999,3,1,1,311
AM-10360,28,5,814.012,4,2,1,421
AM-10705,162,8,5664.022,2,3,4,234
AO-10810,501,1,161.28,1,1,1,111
AP-10720,41,8,1638.554,3,3,2,332
AP-10915,98,10,3323.556,2,4,3,243
AR-10345,111,4,1055.694,2,1,1,211
AR-10405,125,5,2236.128,2,2,2,222
AR-10510,14,5,264.86400000000003,4,2,1,421
AR-10540,6,6,6608.448,4,2,4,424
AR-10570,534,1,88.15,1,1,1,111
AR-10825,58,8,4523.336,3,3,4,334
AS-10045,88,7,3050.692,2,3,3,233
AS-10090,28,9,3255.31,4,4,3,443
AS-10135,41,2,58.82,3,1,1,311
AS-10225,22,5,4260.784,4,2,4,424
AS-10240,192,7,584.6080000000001,1,3,1,131
AS-10285,19,6,3214.236,4,2,3,423
AS-10630,92,7,833.398,2,3,1,231
AT-10435,21,6,1171.814,4,2,2,422
AT-10735,13,10,3831.864,4,4,4,444
AW-10840,20,4,649.376,4,1,1,411
AW-10930,46,7,2852.968,3,3,3,333
AY-10555,14,4,497.014,4,1,1,411
AZ-10750,160,6,1622.0179999999998,2,2,2,222
BB-10990,105,5,744.3399999999999,2,2,1,221
BB-11545,28,9,6765.728,4,4,4,444
BC-11125,202,9,2933.676,1,4,3,143
BD-11320,33,12,5718.521,3,4,4,344
BD-11500,35,6,4411.2429999999995,3,2,4,324
BD-11560,278,2,320.54,1,1,1,111
BD-11605,97,7,3288.471,2,3,3,233
BD-11620,69,6,1538.11,3,2,2,322
BD-11635,9,3,582.646,4,1,1,411
BD-11725,93,6,1526.5,2,2,2,222
BD-11770,327,6,658.466,1,2,1,121
BE-11335,119,5,4204.676,2,2,4,224
BE-11410,98,5,2261.438,2,2,3,223
BE-11455,254,6,1727.652,1,2,2,122
BF-10975,91,7,599.798,2,3,1,231
BF-11005,39,4,1333.88,3,1,2,312
BF-11020,74,8,2888.506,3,3,3,333
BF-11080,25,3,272.95,4,1,1,411
BF-11170,16,11,5907.972,4,4,4,444
BF-11215,65,4,1585.162,3,1,2,312
BF-11275,57,3,791.9899999999999,3,1,1,311
BG-11035,28,8,2798.948,4,3,3,433
BG-11695,36,6,1874.172,3,2,2,322
BG-11740,57,6,1006.356,3,2,1,321
BH-11710,23,8,6255.351,4,3,4,434
BK-11260,77,6,659.1379999999999,2,2,1,221
BM-11140,307,4,11789.63,1,1,4,114
BM-11575,100,6,808.162,2,2,1,221
BM-11650,33,11,7294.185,3,4,4,344
BM-11785,218,10,1338.842,1,4,2,142
BN-11470,24,4,265.296,4,1,1,411
BN-11515,9,5,1459.344,4,2,2,422
BO-11350,137,5,2682.728,2,2,3,223
BO-11425,75,2,130.83,3,1,1,311
BP-11050,83,5,983.42,2,2,1,221
BP-11095,17,12,2442.044,4,4,3,443
BP-11155,89,6,1697.8609999999999,2,2,2,222
BP-11185,1,9,3675.861,4,4,3,443
BP-11230,39,5,1181.49,3,2,2,322
BP-11290,12,7,2475.157,4,3,3,433
BS-11365,558,5,10501.653,1,2,4,124
BS-11380,28,5,3887.834,4,2,4,424
BS-11590,35,6,2454.928,3,2,3,323
BS-11665,582,3,3288.1099999999997,1,1,3,113
BS-11755,1,7,2562.382,4,3,3,433
BS-11800,265,2,949.4300000000001,1,1,1,111
BT-11305,336,5,2567.656,1,2,3,123
BT-11395,302,6,2186.6130000000003,1,2,2,122
BT-11440,560,4,603.876,1,1,1,111
BT-11485,659,2,415.19599999999997,1,1,1,111
BT-11530,91,5,2684.4919999999997,2,2,3,223
BT-11680,20,7,3196.752,4,3,3,433
BV-11245,334,5,1523.2730000000001,1,2,2,122
BW-11065,212,3,385.516,1,1,1,111
BW-11110,121,8,4750.358,2,3,4,234
BW-11200,203,6,1738.406,1,2,2,122
CA-11965,96,6,3789.7228,2,2,4,224
CA-12055,401,5,1679.7240000000002,1,2,2,122
CA-12265,56,9,2648.2872,3,4,3,343
CA-12310,13,4,1421.954,4,1,2,412
CA-12775,120,7,3041.566,2,3,3,233
CB-12025,47,10,6076.139,3,4,4,344
CB-12415,26,8,1949.2,4,3,2,432
CB-12535,197,8,4246.4555,1,3,4,134
CC-12100,457,6,1770.945,1,2,2,122
CC-12145,106,7,2471.65,2,3,3,233
CC-12220,20,12,3913.418,4,4,4,444
CC-12370,43,5,12129.072000000002,3,2,4,324
CC-12430,0,10,2870.05,4,4,3,443
CC-12475,39,9,1659.438,3,4,2,342
CC-12550,27,3,113.832,4,1,1,411
CC-12610,34,7,2540.631,3,3,3,333
CC-12670,29,7,2269.7015,4,3,3,433
CC-12685,799,4,2854.1150000000002,1,1,3,113
CD-11920,40,5,2033.968,3,2,2,322
CD-11980,54,3,639.766,3,1,1,311
CD-12280,42,2,1205.584,3,1,2,312
CD-12790,399,5,1860.732,1,2,2,122
CG-12040,49,6,904.4680000000001,3,2,1,321
CG-12520,338,3,1148.7800000000002,1,1,2,112
CH-12070,691,3,1537.236,1,1,2,112
CJ-11875,365,1,16.52,1,1,1,111
CJ-12010,189,8,11164.974,1,3,4,134
CK-12205,39,13,3154.855,3,4,3,343
CK-12325,120,5,2945.321,2,2,3,223
CK-12595,43,11,2372.75,3,4,3,343
CK-12760,82,9,1582.109,2,4,2,242
CL-11890,106,4,1262.0140000000001,2,1,2,212
CL-12565,284,12,10880.546,1,4,4,144
CL-12700,105,5,2353.586,2,2,3,223
CM-11815,131,6,1673.888,2,2,2,222
CM-11935,708,2,565.392,1,1,1,111
CM-12115,8,4,1661.6100000000001,4,1,2,412
CM-12160,26,6,2533.314,4,2,3,423
CM-12190,8,6,1475.144,4,2,2,422
CM-12235,385,5,2305.712,1,2,3,123
CM-12385,37,4,8954.019999999999,3,1,4,314
CM-12445,436,3,287.99,1,1,1,111
CM-12655,27,6,6339.5576,4,2,4,424
CM-12715,1035,4,3984.4524,1,1,4,114
CP-12085,82,8,5402.254,2,3,4,234
CP-12340,160,8,5888.275,2,3,4,234
CR-12580,57,4,2148.852,3,1,2,312
CR-12625,470,3,475.9,1,1,1,111
CR-12730,78,4,1600.55,2,1,2,212
CR-12820,85,3,1397.8724,2,1,2,212
CS-11845,91,5,1278.954,2,2,2,222
CS-11860,162,6,537.632,2,2,1,221
CS-11950,25,11,3036.547,4,4,3,443
CS-12130,489,4,884.64,1,1,1,111
CS-12175,232,5,844.4580000000001,1,2,1,121
CS-12250,26,12,2754.216,4,4,3,443
CS-12355,6,11,3202.1620000000003,4,4,3,443
CS-12400,2,9,3651.8585000000003,4,4,3,443
CS-12460,27,2,550.644,4,1,1,411
CS-12490,424,4,1077.2285,1,1,1,111
CS-12505,58,6,5690.054999999999,3,2,4,324
CT-11995,96,8,3241.898,2,3,3,233
CV-12295,254,5,2830.6279999999997,1,2,3,123
CV-12805,5,9,2370.3136,4,4,3,443
CW-11905,22,6,1136.592,4,2,1,421
CY-12745,60,8,2900.026,3,3,3,333
Co-12640,549,5,1300.076,1,2,2,122
DA-13450,352,4,156.76,1,1,1,111
DB-12910,21,8,2171.599,4,3,2,432
DB-12970,241,5,2839.2272,1,2,3,123
DB-13060,16,7,4531.646,4,3,4,434
DB-13120,48,7,2973.094,3,3,3,333
DB-13210,9,10,2332.577,4,4,3,443
DB-13270,53,8,4655.897,3,3,4,334
DB-13360,264,5,1081.466,1,2,1,121
DB-13405,187,4,1711.692,1,1,2,112
DB-13555,107,7,3908.8028,2,3,4,234
DB-13615,33,7,1989.05,3,3,2,332
DB-13660,12,7,1155.202,4,3,2,432
DC-12850,37,9,3336.168,3,4,3,343
DC-13285,23,5,1174.618,4,2,2,422
DD-13570,41,6,269.542,3,2,1,321
DE-13255,719,5,2550.874,1,2,3,123
DF-13135,700,3,2390.534,1,1,3,113
DG-13300,32,5,3195.818,3,2,3,323
DH-13075,277,6,4932.872,1,2,4,124
DH-13675,776,4,1043.096,1,1,1,111
DJ-13420,637,4,2012.52,1,1,2,112
DJ-13510,48,8,2501.6879999999996,3,3,3,333
DJ-13630,12,3,3356.398,4,1,3,413
DK-12835,21,12,3256.48,4,4,3,443
DK-12895,45,5,4282.176,3,2,4,324
DK-12985,7,5,1687.04,4,2,2,422
DK-13090,42,7,2650.557,3,3,3,333
DK-13150,10,2,797.832,4,1,1,411
DK-13225,10,9,4802.394,4,4,4,444
DK-13375,19,8,3318.486,4,3,3,433
DL-12865,100,8,1503.112,2,3,2,232
DL-12925,57,6,3272.2,3,2,3,323
DL-13315,22,8,1458.258,4,3,2,432
DL-13330,57,4,585.02,3,1,1,311
DL-13495,76,8,3539.322,2,3,3,233
DM-12955,114,7,1322.034,2,3,2,232
DM-13015,57,7,6345.103,3,3,4,334
DM-13345,22,8,4074.4719999999998,4,3,4,434
DM-13525,481,3,1376.792,1,1,2,112
DN-13690,217,7,2139.79,1,3,2,132
DO-13435,133,9,1300.0315,2,4,2,242
DO-13645,26,7,1267.316,4,3,2,432
DP-13000,126,9,1050.636,2,4,1,241
DP-13105,6,8,2215.002,4,3,2,432
DP-13165,812,2,1058.616,1,1,1,111
DP-13390,358,9,5480.723999999999,1,4,4,144
DR-12880,3,9,6528.034000000001,4,4,4,444
DR-12940,50,8,8350.868,3,3,4,334
DS-13030,93,4,1762.213,2,1,2,212
DS-13180,23,9,2881.8128,4,4,3,443
DV-13045,19,5,1119.483,4,2,1,421
DV-13465,29,6,3341.587,4,2,3,423
DW-13195,69,6,1080.751,3,2,1,321
DW-13480,217,5,5271.628,1,2,4,124
DW-13540,98,5,344.08,2,2,1,221
DW-13585,242,7,1204.854,1,3,2,132
Dl-13600,119,5,755.602,2,2,1,221
Dp-13240,84,11,7198.7609999999995,2,4,4,244
EA-14035,152,13,2846.705,2,4,3,243
EB-13705,48,9,3644.978,3,4,3,343
EB-13750,35,10,3236.314,3,4,3,343
EB-13840,90,5,4358.128,2,2,4,224
EB-13870,100,10,2767.219,2,4,3,243
EB-13930,161,5,944.6000000000001,2,2,1,221
EB-13975,0,4,1643.255,4,1,2,412
EB-14110,113,6,3071.126,2,2,3,223
EB-14170,82,6,1186.326,2,2,2,222
EC-14050,53,5,461.914,3,2,1,321
ED-13885,135,8,3484.92,2,3,3,233
EG-13900,22,5,1832.02,4,2,2,422
EH-13765,135,12,10310.880000000001,2,4,4,244
EH-13945,217,8,684.1709999999999,1,3,1,131
EH-13990,405,6,825.9499999999999,1,2,1,121
EH-14005,2,7,1219.53,4,3,2,432
EH-14125,152,10,3082.653,2,4,3,243
EH-14185,105,6,923.884,2,2,1,221
EJ-13720,302,4,2162.174,1,1,2,112
EJ-14155,57,5,2656.691,3,2,3,323
EK-13795,44,4,1303.478,3,1,2,312
EL-13735,77,2,124.28,2,1,1,211
EM-13810,132,5,2567.0099999999998,2,2,3,223
EM-13825,55,8,2339.598,3,3,3,333
EM-13960,151,5,933.704,2,2,1,221
EM-14065,47,4,228.99,3,1,1,311
EM-14095,113,4,1041.0420000000001,2,1,1,211
EM-14140,48,6,4588.436000000001,3,2,4,324
EM-14200,158,3,366.822,2,1,1,211
EN-13780,287,4,2199.366,1,1,2,112
EP-13915,12,17,5478.0608,4,4,4,444
ER-13855,421,3,1245.788,1,1,2,112
ES-14020,40,5,3510.4579999999996,3,2,3,323
ES-14080,28,9,4657.924,4,4,4,444
FA-14230,97,7,2984.054,2,3,3,233
FC-14245,70,7,3418.742,3,3,3,333
FC-14335,184,7,3889.366,1,3,4,134
FG-14260,34,7,1383.144,3,3,2,332
FH-14275,37,10,4256.272,3,4,4,344
FH-14350,212,4,2271.284,1,1,3,113
FH-14365,5,8,6987.196,4,3,4,434
FM-14215,7,10,2456.638,4,4,3,443
FM-14290,36,9,3736.198,3,4,3,343
FM-14380,145,9,2523.266,2,4,3,243
FO-14305,38,10,2678.438,3,4,3,343
FP-14320,23,8,4046.746,4,3,4,434
FW-14395,362,3,79.75,1,1,1,111
GA-14515,149,8,3919.7760000000003,2,3,4,234
GA-14725,5,11,1398.382,4,4,2,442
GB-14530,62,11,1568.44,3,4,2,342
GB-14575,13,5,4716.288,4,2,4,424
GD-14590,5,4,1888.07,4,1,2,412
GG-14650,43,9,2224.0,3,4,2,342
GH-14410,75,9,2819.4669999999996,3,4,3,343
GH-14425,50,4,4172.8460000000005,3,1,4,314
GH-14485,387,2,1361.2440000000001,1,1,2,112
GH-14665,2,2,146.94080000000002,4,1,1,411
GK-14620,112,9,6497.27,2,4,4,244
GM-14440,83,7,3582.8199999999997,2,3,3,233
GM-14455,16,6,3078.624,4,2,3,423
GM-14500,106,10,1255.682,2,4,2,242
GM-14680,152,6,3163.628,2,2,3,223
GM-14695,117,3,6049.966,2,1,4,214
GP-14740,765,2,236.53,1,1,1,111
GR-14560,1135,2,1284.38,1,1,2,112
GT-14635,56,3,9351.212,3,1,4,314
GT-14710,36,11,11820.119999999999,3,4,4,344
GT-14755,34,4,226.436,3,1,1,311
GW-14605,28,7,2189.019,4,3,2,432
GZ-14470,7,9,4355.150000000001,4,4,4,444
GZ-14545,157,4,2454.6220000000003,2,1,3,213
HA-14905,69,7,2163.3,3,3,2,332
HA-14920,20,8,2584.158,4,3,3,433
HD-14785,769,3,251.36,1,1,1,111
HE-14800,12,4,883.5319999999999,4,1,1,411
HF-14995,21,7,2533.1639999999998,4,3,3,433
HG-14845,54,5,785.628,3,2,1,321
HG-14965,23,12,3247.642,4,4,3,443
HG-15025,6,7,3690.284,4,3,3,433
HH-15010,72,2,218.668,3,1,1,311
HJ-14875,126,5,358.1,2,2,1,221
HK-14890,151,8,4877.784,2,3,4,234
HL-15040,43,6,12873.297999999999,3,2,4,324
HM-14860,2,10,8236.7648,4,4,4,444
HM-14980,247,4,736.276,1,1,1,111
HP-14815,30,7,1990.314,4,3,2,432
HR-14770,13,5,1299.288,4,2,2,422
HR-14830,159,7,5248.787,2,3,4,234
HW-14935,117,8,9300.254,2,3,4,234
HZ-14950,35,5,886.52,3,2,1,321
IG-15085,71,4,744.574,3,1,1,311
IL-15100,142,7,5040.736,2,3,4,234
IM-15055,409,3,2872.63,1,1,3,113
IM-15070,390,7,4930.474,1,3,4,134
JA-15970,92,8,6491.026,2,3,4,234
JB-15400,7,10,1791.605,4,4,2,442
JB-15925,737,3,900.552,1,1,1,111
JB-16000,43,7,644.1188,3,3,1,331
JB-16045,7,5,2518.115,4,2,3,423
JC-15340,114,4,71.263,2,1,1,211
JC-15385,175,1,1058.108,2,1,1,211
JC-15775,158,9,2772.055,2,4,3,243
JC-16105,57,5,858.576,3,2,1,321
JD-15790,117,5,2152.352,2,2,2,222
JD-15895,394,11,7610.8640000000005,1,4,4,144
JD-16015,112,6,385.43,2,2,1,221
JD-16060,300,3,695.442,1,1,1,111
JD-16150,41,8,8828.0305,3,3,4,334
JE-15475,193,6,1388.682,1,2,2,122
JE-15610,48,7,7754.976,3,3,4,334
JE-15715,46,10,8697.842999999999,3,4,4,344
JE-15745,51,13,6760.8150000000005,3,4,4,344
JE-16165,20,3,2697.248,4,1,3,413
JF-15190,65,7,2279.5860000000002,3,3,3,333
JF-15295,225,5,955.124,1,2,1,121
JF-15355,105,6,1911.844,2,2,2,222
JF-15415,2,6,2371.448,4,2,3,423
JF-15490,121,11,1082.918,2,4,1,241
JF-15565,54,8,4198.332,3,3,4,334
JG-15115,758,3,2358.676,1,1,3,113
JG-15160,1,11,6366.392,4,4,4,444
JG-15310,2,6,2240.58,4,2,2,422
JG-15805,223,6,1507.018,1,2,2,122
JH-15430,5,4,309.281,4,1,1,411
JH-15820,174,6,528.91,2,2,1,221
JH-15910,41,7,959.477,3,3,1,331
JH-15985,29,6,7954.9980000000005,4,2,4,424
JH-16180,404,4,2256.3940000000002,1,1,2,112
JJ-15445,483,5,709.178,1,2,1,121
JJ-15760,753,2,195.0,1,1,1,111
JK-15205,61,5,4427.142,3,2,4,324
JK-15325,287,3,383.812,1,1,1,111
JK-15370,44,8,2709.632,3,3,3,333
JK-15625,61,7,3760.028,3,3,3,333
JK-15640,180,9,4760.434,2,4,4,244
JK-15730,84,10,4867.2,2,4,4,244
JK-16090,28,3,3747.668,4,1,3,413
JK-16120,117,10,2932.484,2,4,3,243
JL-15130,8,6,1214.956,4,2,2,422
JL-15175,6,5,1571.523,4,2,2,422
JL-15235,119,5,2203.7,2,2,2,222
JL-15505,49,6,3173.874,3,2,3,323
JL-15835,21,11,9799.923,4,4,4,444
JL-15850,614,6,2725.256,1,2,3,123
JM-15250,37,6,3159.1220000000003,3,2,3,323
JM-15265,37,5,1804.146,3,2,2,322
JM-15535,102,7,1733.443,2,3,2,232
JM-15580,0,5,303.948,4,2,1,421
JM-15655,8,5,864.947,4,2,1,421
JM-15865,109,7,7625.076000000001,2,3,4,234
JM-16195,57,10,2833.9260000000004,3,4,3,343
JO-15145,57,9,3254.949,3,4,3,343
